"cepa";"temperatura";"modelo";"AIC";"BIC";"R2";"K";"r"
"MA";"25";"Gompertz";-209,33;-200,39;0,9967;4,461;0,6366
"MA";"25";"Logistica";-345,38;-336,44;0,9995;4,414;0,9472
"MA";"25";"Richards";-377,5;-366,33;0,9997;4,393;1,0877
"MA";"32";"Gompertz";-217,44;-208,74;0,9973;4,51;0,5025
"MA";"32";"Logistica";-375,3;-366,61;0,9998;4,449;0,7633
"MA";"32";"Richards";-404,47;-393,6;0,9999;4,427;0,847
"MA";"37";"Gompertz";-340,61;-331,92;0,9996;4,536;0,5366
"MA";"37";"Logistica";-326,86;-318,16;0,9995;4,402;0,7352
"MA";"37";"Richards";-403,32;-392,45;0,9998;4,495;0,6148
"TA050";"32";"Gompertz";-237,07;-229,34;0,9966;5,667;0,3432
"TA050";"32";"Logistica";-276,88;-269,16;0,9984;5,581;0,486
"TA050";"32";"Richards";-299,56;-289,9;0,999;5,378;0,6898
"TA050";"37";"Gompertz";-169,46;-161,89;0,9937;5,221;0,253
"TA050";"37";"Logistica";-204,31;-196,75;0,9969;5,163;0,4492
"TA050";"37";"Richards";-285,42;-275,96;0,9994;4,944;1,1415
"TA050";"40";"Gompertz";-163,93;-155,98;0,9928;5,017;0,2273
"TA050";"40";"Logistica";-199,78;-191,82;0,9963;4,975;0,4602
"TA050";"40";"Richards";-312,64;-302,7;0,9996;4,821;1,4779
